Gene1,Gene2,Score
DNAJC1,LDHD,37.532298457887066
MTA1,RP11-567J20.3,29.935292040276945
KLF6,RP4-677H15.4,27.930417595036484
ZFHX2,PTTG1,27.79012850889917
ZSCAN2,PF4,27.64086747898709
JUNB,CCDC81,27.014273300078525
LEF1,AC107218.3,26.841561532965464
YEATS4,SPIRE1,26.5774786613923
ZNF576,JADE3,26.363502104172163
RUNX3,RP11-762I7.5,26.106110200501742
FOXN2,LINC00869,26.042005839876104
FOSB,IRAK3,26.004336075101214
JUN,DRD3,25.540244268855787
JUNB,DNA2,25.47443625524
JUNB,HSPA2,25.44451795831622
JUNB,RP11-358L4.1,25.370062379570324
KLF6,PLD1,25.32480355265476
FOSB,RP11-211G3.2,25.18812207179388
LYAR,FXYD6,25.108659410168496
FOS,RP11-275I4.1,25.100255835256775
BATF,KCNK5,24.967655293572992
JUNB,DAPK1,24.889604419208084
LYAR,OCRL,24.720946520355938
KLF6,RP11-13N13.2,24.67801599593364
ID3,CTD-2588C8.8,24.62610291339621
JUNB,RP11-77I22.2,24.589518256108622
ZNF155,INPP4B,24.559079126591445
KLF6,RP11-1277A3.1,24.5071850141858
MTA1,BRCC3,24.387936260859483
FOS,Z69666.2,24.281842240837875
ZNF683,USP6,24.07339417846984
ZNF773,SUDS3,24.01591406163237
DNAJC1,HIF1A-AS2,23.90896551106363
ID3,CCL3L3,23.874419475018403
PLEK,HAAO,23.84857208021451
BATF,IRF6,23.78844360363369
JUN,MAST2,23.759795511141345
YEATS4,RBP7,23.682062245066454
DNAJC1,DNTT,23.482727963443605
ZBTB38,ANKRD50,23.472752697651615
CEBPD,C1orf234,23.40732021824601
HIVEP3,GDPGP1,23.350587921714325
ZNF277,MARCKS,23.33813452741833
JUNB,IL10,23.336150632452696
JUNB,RP11-138B4.1,23.2506848997008
JUN,RP11-259N19.1,23.248742202913768
ZNF547,TCHP,23.23413651315576
JUNB,ESCO2,23.19183786308767
MTA1,AKAP10,23.16989942111212
FOXN2,NPPC,23.03808931139914
ID2,FAM20C,23.03627337068047
FOS,RP11-814H16.2,23.0045685276546
ID2,CECR7,22.996143307178265
JUN,C11orf45,22.9061834876064
ATF6,RP11-168O16.1,22.83332743044622
BAZ2A,AC022532.1,22.7708935926188
ZBTB38,LY86-AS1,22.7598986583708
MTA1,ABHD11,22.753934291798643
MYSM1,RP11-316M1.3,22.653857157987552
FOS,RP5-850O15.4,22.647052416210474
ZSCAN2,GOLGA6L4,22.600160506440982
LEF1,RP11-380L11.4,22.561778355599888
MTA1,RP11-18I14.11,22.536330522571504
ID2,RP11-511B23.2,22.48847551602109
FOXN2,RP11-803D5.4,22.482954004596085
YEATS4,CD1B,22.47434077933553
ZNF143,CALCRL,22.42590456166023
JUNB,KCTD15,22.41350025891281
MAFB,CST3,22.40083030391671
JUNB,DHRS4-AS1,22.375426452637672
ID3,CYP1B1-AS1,22.35236685421832
HOPX,AP001059.5,22.345494256319448
ZNF155,CLEC4A,22.299613762090893
HIVEP3,RP5-1142A6.2,22.29926307244279
JUNB,LIPC,22.295833285254467
PKNOX1,BAIAP2-AS1,22.285938845889167
CEBPD,DNMT3B,22.263359652745613
LEF1,DCTN1-AS1,22.19094880376566
FOSB,AC002306.1,22.12705470712639
JUNB,NCAPH,22.12493400336252
JUNB,ALDH4A1,22.121870521105155
ARID5B,PZP,22.11425559193276
JUN,SPTLC3,22.017733359445195
ARID5B,RP11-482D24.3,21.99276685580445
ATF6,BAALC,21.933880374101527
BAZ2A,TPPP,21.90365374704608
BBX,KIF20A,21.901279637583016
GABPA,YOD1,21.831430073702123
FOS,RP11-554E23.4,21.80564903855054
JUN,RP4-794H19.4,21.752807548560455
ZNF264,RP1-257A7.4,21.68163114642176
ARID2,RP11-327F22.2,21.602825392985004
BBX,RP11-46A10.4,21.585106258209013
MYBL1,FZD2,21.57781212401028
ZNF532,SKIV2L2,21.57663321616849
SNAI3,CDKN2B-AS1,21.53632046763532
JUN,PPARG,21.527264911448864
LYAR,LRRC3DN,21.490756017722745
JUNB,FAM135A,21.4649660621588
FOXN2,AC007036.6,21.41128441448237
MYBL1,ITGAD,21.36197760448392
SOX13,SLC17A9,21.32394800307688
ARID5B,HSPA12B,21.30905481520129
ZNF805,RP11-216B9.6,21.30001484888041
JUNB,CLEC7A,21.22627753057887
ZNF264,CYP17A1-AS1,21.17570155781342
JUN,RP11-428G5.5,21.130575303923173
RORB,RP11-94L15.2,21.12898010142507
ZBTB38,EED,21.09923105451876
JUN,RP11-460I13.2,21.01035780864238
JUNB,ZNF773,20.98050397931076
ZNF683,PDGFA,20.967570228244163
ZNF277,CTD-3224K15.3,20.95593155948036
HOPX,LY6G6F,20.95170057254221
CEBPD,TMEM155,20.91492719028964
CEBPD,CAMK2N2,20.86799312190376
JUNB,RP11-7F18.2,20.818576000574865
ZNF155,ASCC1,20.810066513411744
ARNT,AC104655.3,20.79463027866359
NR4A1,TMEM52,20.67016086975813
FOXN2,RP11-247L20.4,20.668137058430236
MLXIP,CTD-2260A17.1,20.623467220352097
ZNF320,ACSM1,20.570779166210304
ZNF562,RNF214,20.566120310592595
JUN,RP11-631N16.2,20.56500803964672
IRF6,DLG3,20.5644642991239
ZNF143,SCUBE1,20.554317864578135
PURA,RAB26,20.54123735211935
KLF6,CTD-2650P22.1,20.49102777024805
ZSCAN2,ANKRD45,20.45087702818117
JUNB,ZNF843,20.38981528515282
JUNB,RP5-991G20.4,20.380179188510223
LEF1,AC009404.2,20.346905212816463
BATF,CTA-384D8.33,20.307517549410072
GABPA,LINC00894,20.28281407473401
JUN,AC073641.2,20.27854103079886
IRF6,S100A9,20.264635628957343
ZNF142,STYK1,20.2639525705896
JUNB,PODXL,20.25047968127516
FOS,C1QTNF4,20.222587029922696
POU5F2,FAM20B,20.203627273708022
ZNF576,SLC10A5,20.189785066084344
HOXA9,LACE1,20.168472615620797
LEF1,CCDC110,20.14506082007527
ARID5B,RP11-54O7.1,20.030157622211828
JUNB,CTA-14H9.5,20.00856844210436
LEF1,CTD-2090I13.1,19.92976564457744
SNAI3,MTTP,19.92204213081248
JUNB,FOLR2,19.879127530547557
ZNF710,TMEM107,19.87161584983612
JUNB,SMTN,19.743399097685742
ATF6,AC009784.3,19.72782957681851
FOS,RP11-392P7.6,19.71060141831392
PKNOX1,MTRNR2L8,19.702666394285995
ZNF773,TAF13,19.628149778308632
THAP6,UCN,19.610338767277675
ZNF80,HERC3,19.596067853351386
LEF1,CTD-2015H6.3,19.57494338387361
JUNB,AD000671.6,19.555333888147004
JUNB,ALOX12B,19.41740963578383
LEF1,ZDHHC24,19.413412904970585
ZFHX3,INCENP,19.34480557559272
JUN,CDC6,19.301705605948328
ZNF80,RP11-357H14.17,19.25948096227817
FOS,NRIP3,19.224181226946857
JUNB,NAT8L,19.222150104539804
JUNB,RP11-58E21.4,19.15846239176429
ZNF264,GPATCH2,19.15716527373976
ZNF660,IFNGR1,19.120547733099404
JUNB,RP11-511B23.1,19.072067680737447
HMGB3,HAGHL,19.0624354949194
AHCTF1,PTPN14,19.05094577606055
ASCL2,DYRK3,19.01617040592496
JUN,ATP1A2,19.00637628599725
ZNF562,IL18,18.988636217512543
MAFG,C1orf109,18.98662119869051
JUN,RP11-339B21.13,18.949944745281886
THAP6,TSTD3,18.908654748185967
ID2,AP006621.8,18.86656400057976
ZNF264,RP11-1100L3.7,18.85807002327698
ZNF233,PARS2,18.835301124075336
ZNF41,PQLC3,18.830639446381703
FOXK1,SPON2,18.821521043264
LYAR,RP11-10A14.4,18.820360612094955
ZNF805,VPS41,18.79023137559448
ZNF80,QSER1,18.788914874322707
ZBTB38,AOAH,18.71706547590516
JUNB,DMXL2,18.70092481431998
ZSCAN29,MICALL1,18.60588853237026
FOS,RP11-110I1.14,18.587185383939666
ARNT,EPAS1,18.5708066045952
JUNB,PACSIN3,18.57076059363981
ZNF142,SHCBP1,18.537679098058064
JUNB,FAM57A,18.536909240999787
JUNB,UBE2Q2L,18.4861552234386
ZNF142,IGF2BP3,18.46934717672818
LYAR,DIRC3,18.461626295368674
LEF1,AC005082.12,18.435250684103185
JUNB,WDR90,18.431367663595346
ZNF737,CR2,18.283462416383127
ID3,FAM181B,18.24257284893023
JUNB,GHRLOS,18.20971620759932
JUNB,KIAA1109,18.17899244616988
MIXL1,KNOP1,18.0930351216378
LEF1,LURAP1,18.07785554800729
ZSCAN2,GNG11,18.034265523607694
ARNT,DCAF4L1,17.926803794805977
JUNB,RP11-770J1.5,17.881489817344118
FOS,SPRED1,17.800565395302918
ZBTB34,KIF21B,17.755727461479957
JUNB,TBCEL,17.75120512463268
LEF1,CTD-2006H14.2,17.74686518643873
JUNB,RP4-622L5.7,17.733419755351008
ZNF320,TSNARE1,17.727026976896376
JUN,C1orf222,17.719142131105333
HOPX,FARP1,17.69848022235134
ZNF233,DDX54,17.691424927239826
LEF1,RP11-324I22.4,17.687633833969954
JUN,MC1R,17.65716137095829
LEF1,RP11-795F19.5,17.653297038218884
JUNB,AC097721.2,17.647930611435974
MYSM1,RP11-727A23.11,17.642511447075137
FOS,TIGD2,17.621045091169147
NR4A1,SFSWAP,17.614317719004227
ZBTB38,TKTL1,17.5935070985578
ZSCAN2,NADK2,17.58857555392533
ZNF710,NRGN,17.556582002536008
