TF (regulator),Gene (target)
ZNF773,ABHD11
BAZ2A,ABHD11
JUN,ABHD11
JUNB,ABHD11
POU5F2,ABHD11
BBX,ABHD11
ID2,ABHD11
AHCTF1,ABHD11
LYAR,ABHD11
FOSB,ABHD11
DNAJC1,ABHD11
MTA1,ABHD11
KLF6,ABHD11
YEATS4,ABHD11
ZNF683,ABHD11
BATF,ABI3
JUN,ABI3
JUNB,ABI3
ID2,ABI3
SOX13,ABI3
SATB2,ABI3
LEF1,ABI3
ARNT,ABI3
LYAR,ABI3
ASCL2,ABI3
ZNF470,ABI3
ATF6,ABI3
PLEK,ABI3
ZNF683,ABI3
HOPX,ABI3
BBX,ABL2
JUNB,ABL2
ID2,ABL2
ZNF155,ABL2
CEBPD,ABL2
LEF1,ABL2
AHCTF1,ABL2
LYAR,ABL2
FOS,ABL2
ZNF320,ABL2
HIVEP3,ABL2
KLF6,ABL2
MYSM1,ABL2
ZNF684,ABL2
HOPX,ABL2
BATF,AC002306.1
JUN,AC002306.1
JUNB,AC002306.1
ID2,AC002306.1
ARID5B,AC002306.1
CEBPD,AC002306.1
LEF1,AC002306.1
LYAR,AC002306.1
FOS,AC002306.1
FOSB,AC002306.1
DNAJC1,AC002306.1
KLF6,AC002306.1
ZNF576,AC002306.1
PLEK,AC002306.1
HOPX,AC002306.1
BATF,AC004067.5
RUNX3,AC004067.5
JUN,AC004067.5
JUNB,AC004067.5
ID2,AC004067.5
CEBPD,AC004067.5
LEF1,AC004067.5
LYAR,AC004067.5
FOS,AC004067.5
FOSB,AC004067.5
DNAJC1,AC004067.5
KLF6,AC004067.5
PLEK,AC004067.5
ZNF683,AC004067.5
HOPX,AC004067.5
BATF,AC004158.2
JUN,AC004158.2
JUNB,AC004158.2
BBX,AC004158.2
ID2,AC004158.2
LEF1,AC004158.2
LYAR,AC004158.2
MAFG,AC004158.2
FOS,AC004158.2
KLF6,AC004158.2
ZNF576,AC004158.2
PLEK,AC004158.2
GABPA,AC004158.2
ZNF683,AC004158.2
HOPX,AC004158.2
BATF,AC005082.12
RUNX3,AC005082.12
JUN,AC005082.12
JUNB,AC005082.12
ID2,AC005082.12
CEBPD,AC005082.12
LEF1,AC005082.12
LYAR,AC005082.12
FOS,AC005082.12
DNAJC1,AC005082.12
MTA1,AC005082.12
ZBTB38,AC005082.12
KLF6,AC005082.12
ZNF683,AC005082.12
HOPX,AC005082.12
BATF,AC005253.2
JUNB,AC005253.2
ID2,AC005253.2
MLXIP,AC005253.2
LYAR,AC005253.2
ASCL2,AC005253.2
FOSB,AC005253.2
ZNF41,AC005253.2
MTA1,AC005253.2
DNAJC1,AC005253.2
KLF6,AC005253.2
YEATS4,AC005253.2
PLEK,AC005253.2
HOPX,AC005253.2
ZNF737,AC005253.2
JUN,AC006547.14
JUNB,AC006547.14
ID2,AC006547.14
ARID5B,AC006547.14
CEBPD,AC006547.14
LEF1,AC006547.14
LYAR,AC006547.14
FOS,AC006547.14
DNAJC1,AC006547.14
KLF6,AC006547.14
PKNOX1,AC006547.14
MYBL1,AC006547.14
PLEK,AC006547.14
ZNF683,AC006547.14
HOPX,AC006547.14
BATF,AC007036.6
JUN,AC007036.6
JUNB,AC007036.6
BBX,AC007036.6
ID2,AC007036.6
CEBPD,AC007036.6
LYAR,AC007036.6
ZNF277,AC007036.6
FOS,AC007036.6
FOXN2,AC007036.6
KLF6,AC007036.6
YEATS4,AC007036.6
MYBL1,AC007036.6
ZNF683,AC007036.6
HOPX,AC007036.6
BATF,AC007163.6
BAZ2A,AC007163.6
JUN,AC007163.6
JUNB,AC007163.6
BBX,AC007163.6
ID2,AC007163.6
ARID5B,AC007163.6
LEF1,AC007163.6
AHCTF1,AC007163.6
LYAR,AC007163.6
FOS,AC007163.6
KLF6,AC007163.6
PLEK,AC007163.6
ZNF683,AC007163.6
HOPX,AC007163.6
PURA,AC009133.12
RUNX3,AC009133.12
JUN,AC009133.12
JUNB,AC009133.12
BBX,AC009133.12
ID2,AC009133.12
ZNF142,AC009133.12
ARID5B,AC009133.12
TCF12,AC009133.12
LYAR,AC009133.12
FOS,AC009133.12
ATF6,AC009133.12
KLF6,AC009133.12
PKNOX1,AC009133.12
HOPX,AC009133.12
BATF,AC009312.1
JUN,AC009312.1
JUNB,AC009312.1
ID2,AC009312.1
CEBPD,AC009312.1
LYAR,AC009312.1
ZNF277,AC009312.1
FOS,AC009312.1
ASCL2,AC009312.1
DNAJC1,AC009312.1
KLF6,AC009312.1
PLEK,AC009312.1
ZNF683,AC009312.1
MYSM1,AC009312.1
HOPX,AC009312.1
JUN,AC009404.2
JUNB,AC009404.2
ID3,AC009404.2
CEBPD,AC009404.2
LEF1,AC009404.2
LYAR,AC009404.2
THAP6,AC009404.2
ASCL2,AC009404.2
FOSB,AC009404.2
DNAJC1,AC009404.2
HIVEP3,AC009404.2
KLF6,AC009404.2
PLEK,AC009404.2
ZNF683,AC009404.2
HOPX,AC009404.2
BATF,AC009784.3
JUN,AC009784.3
JUNB,AC009784.3
ID2,AC009784.3
LEF1,AC009784.3
LYAR,AC009784.3
ZNF277,AC009784.3
FOS,AC009784.3
ASCL2,AC009784.3
DNAJC1,AC009784.3
FOXN2,AC009784.3
ATF6,AC009784.3
KLF6,AC009784.3
PLEK,AC009784.3
HOPX,AC009784.3
BATF,AC010226.4
BAZ2A,AC010226.4
JUN,AC010226.4
HOXA9,AC010226.4
JUNB,AC010226.4
BBX,AC010226.4
ID3,AC010226.4
TCF12,AC010226.4
CEBPD,AC010226.4
LYAR,AC010226.4
FOS,AC010226.4
HIVEP3,AC010226.4
YEATS4,AC010226.4
GABPA,AC010226.4
HOPX,AC010226.4
JUN,AC012358.8
JUNB,AC012358.8
ID2,AC012358.8
MLXIP,AC012358.8
ZNF155,AC012358.8
LEF1,AC012358.8
ARNT,AC012358.8
FOS,AC012358.8
ASCL2,AC012358.8
DNAJC1,AC012358.8
KLF6,AC012358.8
PLEK,AC012358.8
ZNF683,AC012358.8
ZNF684,AC012358.8
HOPX,AC012358.8
BATF,AC016586.1
PURA,AC016586.1
JUN,AC016586.1
JUNB,AC016586.1
BBX,AC016586.1
ID2,AC016586.1
ARID2,AC016586.1
ARID5B,AC016586.1
LEF1,AC016586.1
ARNT,AC016586.1
LYAR,AC016586.1
FOS,AC016586.1
ASCL2,AC016586.1
KLF6,AC016586.1
ZNF683,AC016586.1
ZNF773,AC016757.3
JUN,AC016757.3
SNAI3,AC016757.3
JUNB,AC016757.3
ID2,AC016757.3
LEF1,AC016757.3
AHCTF1,AC016757.3
LYAR,AC016757.3
FOS,AC016757.3
DNAJC1,AC016757.3
KLF6,AC016757.3
IRF6,AC016757.3
MYBL1,AC016757.3
HMGB3,AC016757.3
HOPX,AC016757.3
BATF,AC016907.3
JUN,AC016907.3
JUNB,AC016907.3
BBX,AC016907.3
ID2,AC016907.3
CEBPD,AC016907.3
LEF1,AC016907.3
LYAR,AC016907.3
FOS,AC016907.3
FOSB,AC016907.3
DNAJC1,AC016907.3
KLF6,AC016907.3
PLEK,AC016907.3
ZNF683,AC016907.3
HOPX,AC016907.3
BATF,AC022532.1
BAZ2A,AC022532.1
JUN,AC022532.1
JUNB,AC022532.1
ID2,AC022532.1
MLXIP,AC022532.1
CEBPD,AC022532.1
LEF1,AC022532.1
LYAR,AC022532.1
ZNF277,AC022532.1
FOS,AC022532.1
KLF6,AC022532.1
PLEK,AC022532.1
ZNF683,AC022532.1
HOPX,AC022532.1
JUN,AC025335.1
BBX,AC025335.1
ID2,AC025335.1
ID3,AC025335.1
LEF1,AC025335.1
ZNF264,AC025335.1
ZNF277,AC025335.1
LYAR,AC025335.1
FOS,AC025335.1
FOSB,AC025335.1
DNAJC1,AC025335.1
KLF6,AC025335.1
MYBL1,AC025335.1
PLEK,AC025335.1
ZNF683,AC025335.1
BATF,AC068282.3
BAZ2A,AC068282.3
JUN,AC068282.3
SNAI3,AC068282.3
JUNB,AC068282.3
ID2,AC068282.3
ARID5B,AC068282.3
LEF1,AC068282.3
LYAR,AC068282.3
FOS,AC068282.3
FOSB,AC068282.3
FOXK1,AC068282.3
KLF6,AC068282.3
PLEK,AC068282.3
HOPX,AC068282.3
BATF,AC073641.2
JUN,AC073641.2
JUNB,AC073641.2
BBX,AC073641.2
ID2,AC073641.2
CEBPD,AC073641.2
LEF1,AC073641.2
LYAR,AC073641.2
FOS,AC073641.2
FOSB,AC073641.2
DNAJC1,AC073641.2
KLF6,AC073641.2
PLEK,AC073641.2
ZNF683,AC073641.2
HOPX,AC073641.2
BAZ2A,AC090186.1
JUN,AC090186.1
JUNB,AC090186.1
ZSCAN2,AC090186.1
ZNF80,AC090186.1
ID2,AC090186.1
BBX,AC090186.1
LEF1,AC090186.1
LYAR,AC090186.1
ZNF277,AC090186.1
FOS,AC090186.1
DNAJC1,AC090186.1
HIVEP3,AC090186.1
KLF6,AC090186.1
HOPX,AC090186.1
PURA,AC092295.7
JUN,AC092295.7
SNAI3,AC092295.7
ZFHX3,AC092295.7
JUNB,AC092295.7
ID2,AC092295.7
ID3,AC092295.7
MLXIP,AC092295.7
ARID2,AC092295.7
CEBPD,AC092295.7
THAP6,AC092295.7
ASCL2,AC092295.7
PLEK,AC092295.7
ZNF683,AC092295.7
HOPX,AC092295.7
PURA,AC093609.1
JUN,AC093609.1
JUNB,AC093609.1
ID2,AC093609.1
ID3,AC093609.1
ARID5B,AC093609.1
EPAS1,AC093609.1
LYAR,AC093609.1
FOS,AC093609.1
ASCL2,AC093609.1
FOXN2,AC093609.1
ZNF562,AC093609.1
PLEK,AC093609.1
ZNF683,AC093609.1
HOPX,AC093609.1
BATF,AC097721.2
PURA,AC097721.2
JUN,AC097721.2
JUNB,AC097721.2
BBX,AC097721.2
ID2,AC097721.2
ARID5B,AC097721.2
CEBPD,AC097721.2
LEF1,AC097721.2
LYAR,AC097721.2
FOS,AC097721.2
KLF6,AC097721.2
PLEK,AC097721.2
ZNF683,AC097721.2
HOPX,AC097721.2
BATF,AC104655.3
RUNX3,AC104655.3
JUNB,AC104655.3
ID2,AC104655.3
ID3,AC104655.3
ARNT,AC104655.3
LYAR,AC104655.3
MAFB,AC104655.3
ASCL2,AC104655.3
DNAJC1,AC104655.3
HIVEP3,AC104655.3
KLF6,AC104655.3
PLEK,AC104655.3
ZNF683,AC104655.3
HOPX,AC104655.3
BATF,AC107218.3
JUN,AC107218.3
JUNB,AC107218.3
BBX,AC107218.3
ID2,AC107218.3
ARID5B,AC107218.3
CEBPD,AC107218.3
LEF1,AC107218.3
LYAR,AC107218.3
FOS,AC107218.3
